smiles,CYP1A2_IC50_PIC50,source,CYP1A2_Ki_PIC50,CYP2C9_IC50_PIC50,CYP2C9_Ki_PIC50,CYP2C19_IC50_PIC50,CYP2C19_Ki_PIC50,CYP2D6_IC50_PIC50,CYP2D6_Ki_PIC50,CYP3A4_IC50_PIC50,CYP3A4_Ki_PIC50,CYP2B6_IC50_PIC50,CYP2B6_Ki_PIC50
CC(=O)Nc1ccc(N(C)S(C)(=O)=O)c(OCc2ccccc2)c1,4.78,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1,5.93,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OC1=C2C=C[C@@H]3[C@H](CC[C@]4(C)C(=O)CC[C@@H]34)[C@@]2(C)CCC1=O,5.1,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OC1=C2CC[C@@H]3[C@H](CC[C@]4(C)C(=O)CC[C@@H]34)[C@@]2(C)CCC1,6.18,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OC1=C2CC[C@@H]3[C@H](CC[C@]4(C)C(=O)CC[C@@H]34)[C@@]2(C)CCC1=O,5.82,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OC1=C2CC[C@@H]3[C@H](CC[C@]4(C)C(=O)CC[C@@H]34)[C@@]2(CO)CCC1,5.44,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OC1CCC2C3CCC4=CCCCC4(CO)C3CCC12C,4.0,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OC1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,6.0,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OC1CCC[C@@]2(CO)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,4.96,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OC1CCC[C@]2(C)C1=CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,6.16,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OC1CC[C@H]2[C@@H]3CCC4=CCCC[C@]4(CO)[C@H]3CC[C@]12C,4.0,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OC1C[C@@]2(C)C(=CC1=O)C(=O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,4.62,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OC1[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)CCC(=O)C=C2[C@@H]1N=[N+]=[N-],6.4,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(O)CCC12,4.36,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(OC(C)=O)CCC12,4.42,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OCC12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12,5.4,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OC[C@]12CCCC=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,5.4,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)OC[C@]12CCCC=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(O)CC[C@@H]12,4.36,chembl_CYP1A2_IC50,,,,,,,,,,,
